"AREA","DATA","MUNICIPIO","UF","VALOR"
"Educação","2020-05-01","São José dos Campos","SP","2565509.0"
"Educação","2020-06-01","São José dos Campos","SP","1714380.0"
"Educação","2020-07-01","São José dos Campos","SP","2358093.0"
"Educação","2020-08-01","São José dos Campos","SP","2541800.0"
"Educação","2020-09-01","São José dos Campos","SP","2537544.0"
"Educação","2020-10-01","São José dos Campos","SP","3347180.400390625"
"Educação","2020-11-01","São José dos Campos","SP","3746489.796875"
"Educação","2020-12-01","São José dos Campos","SP","4334558.649780273"
"Educação","2021-01-01","São José dos Campos","SP","3913785.0"
"Educação","2021-02-01","São José dos Campos","SP","4699765.0"
"Educação","2021-03-01","São José dos Campos","SP","4121826.0"
"Educação","2021-04-01","São José dos Campos","SP","4024346.2816467285"
"Educação","2021-05-01","São José dos Campos","SP","4965258.9515686035"
"Educação","2021-06-01","São José dos Campos","SP","3760895.0"
"Educação","2021-07-01","São José dos Campos","SP","3449435.0"
"Educação","2021-08-01","São José dos Campos","SP","1590985.0"
"Educação","2021-09-01","São José dos Campos","SP","925305.0"
