"ANO","REGIAO","SIGLA","UNIDADE_FEDERACAO","MUNICIPIO","PERIODO","MATRICULAS","COD_MUNICIPIO"
"2011","Norte","AC","Acre","Capixaba","FUNDAMENTAL_ANOS_INICIAIS",1476,1200179
"2011","Norte","AC","Acre","Cruzeiro do Sul","FUNDAMENTAL_ANOS_INICIAIS",11364,1200203
"2011","Norte","AC","Acre","Epitaciolândia","FUNDAMENTAL_ANOS_INICIAIS",1638,1200252
"2011","Norte","AC","Acre","Feijó","FUNDAMENTAL_ANOS_INICIAIS",5512,1200302
"2011","Norte","AC","Acre","Jordão","FUNDAMENTAL_ANOS_INICIAIS",1537,1200328
"2011","Norte","AC","Acre","Mâncio Lima","FUNDAMENTAL_ANOS_INICIAIS",2126,1200336
"2011","Norte","AC","Acre","Manoel Urbano","FUNDAMENTAL_ANOS_INICIAIS",1496,1200344
"2011","Norte","AC","Acre","Marechal Thaumaturgo","FUNDAMENTAL_ANOS_INICIAIS",3144,1200351
"2011","Norte","AC","Acre","Plácido de Castro","FUNDAMENTAL_ANOS_INICIAIS",2208,1200385
"2011","Norte","AC","Acre","Porto Acre","FUNDAMENTAL_ANOS_INICIAIS",2374,1200807
"2011","Norte","AC","Acre","Porto Walter","FUNDAMENTAL_ANOS_INICIAIS",1831,1200393
"2011","Norte","AC","Acre","Rio Branco","FUNDAMENTAL_ANOS_INICIAIS",35103,1200401
"2011","Norte","AC","Acre","Rodrigues Alves","FUNDAMENTAL_ANOS_INICIAIS",2340,1200427
"2011","Norte","AC","Acre","Santa Rosa do Purus","FUNDAMENTAL_ANOS_INICIAIS",1460,1200435
"2011","Norte","AC","Acre","Sena Madureira","FUNDAMENTAL_ANOS_INICIAIS",5113,1200500
"2011","Norte","AC","Acre","Senador Guiomard","FUNDAMENTAL_ANOS_INICIAIS",2799,1200450
"2011","Norte","AC","Acre","Tarauacá","FUNDAMENTAL_ANOS_INICIAIS",7365,1200609
"2011","Norte","AC","Acre","Xapuri","FUNDAMENTAL_ANOS_INICIAIS",2200,1200708
"2011","Norte","AM","Amazonas","Alvarães","FUNDAMENTAL_ANOS_INICIAIS",2864,1300029
"2011","Norte","AM","Amazonas","Amaturá","FUNDAMENTAL_ANOS_INICIAIS",1558,1300060
"2011","Norte","AM","Amazonas","Anamã","FUNDAMENTAL_ANOS_INICIAIS",1361,1300086
"2011","Norte","AM","Amazonas","Anori","FUNDAMENTAL_ANOS_INICIAIS",1725,1300102
"2011","Norte","AM","Amazonas","Apuí","FUNDAMENTAL_ANOS_INICIAIS",1492,1300144
"2011","Norte","AM","Amazonas","Atalaia do Norte","FUNDAMENTAL_ANOS_INICIAIS",3002,1300201
"2011","Norte","AM","Amazonas","Autazes","FUNDAMENTAL_ANOS_INICIAIS",5301,1300300
"2011","Norte","AM","Amazonas","Barcelos","FUNDAMENTAL_ANOS_INICIAIS",2580,1300409
"2011","Norte","AM","Amazonas","Barreirinha","FUNDAMENTAL_ANOS_INICIAIS",5330,1300508
"2011","Norte","AM","Amazonas","Benjamin Constant","FUNDAMENTAL_ANOS_INICIAIS",4850,1300607
"2011","Norte","AM","Amazonas","Beruri","FUNDAMENTAL_ANOS_INICIAIS",3553,1300631
"2011","Norte","AM","Amazonas","Boa Vista do Ramos","FUNDAMENTAL_ANOS_INICIAIS",2408,1300680
"2011","Norte","AM","Amazonas","Boca do Acre","FUNDAMENTAL_ANOS_INICIAIS",4258,1300706
"2011","Norte","AM","Amazonas","Borba","FUNDAMENTAL_ANOS_INICIAIS",5027,1300805
"2011","Norte","AM","Amazonas","Caapiranga","FUNDAMENTAL_ANOS_INICIAIS",1618,1300839
"2011","Norte","AM","Amazonas","Canutama","FUNDAMENTAL_ANOS_INICIAIS",1765,1300904
"2011","Norte","AM","Amazonas","Carauari","FUNDAMENTAL_ANOS_INICIAIS",4426,1301001
"2011","Norte","AM","Amazonas","Careiro","FUNDAMENTAL_ANOS_INICIAIS",4096,1301100
"2011","Norte","AM","Amazonas","Careiro da Várzea","FUNDAMENTAL_ANOS_INICIAIS",2530,1301159
"2011","Norte","AM","Amazonas","Coari","FUNDAMENTAL_ANOS_INICIAIS",10927,1301209
"2011","Norte","AM","Amazonas","Codajás","FUNDAMENTAL_ANOS_INICIAIS",2967,1301308
"2011","Norte","AM","Amazonas","Eirunepé","FUNDAMENTAL_ANOS_INICIAIS",5155,1301407
"2011","Norte","AM","Amazonas","Envira","FUNDAMENTAL_ANOS_INICIAIS",2733,1301506
"2011","Norte","AM","Amazonas","Fonte Boa","FUNDAMENTAL_ANOS_INICIAIS",3067,1301605
"2011","Norte","AM","Amazonas","Guajará","FUNDAMENTAL_ANOS_INICIAIS",2219,1301654
"2011","Norte","AM","Amazonas","Humaitá","FUNDAMENTAL_ANOS_INICIAIS",6388,1301704
"2011","Norte","AM","Amazonas","Ipixuna","FUNDAMENTAL_ANOS_INICIAIS",2757,1301803
"2011","Norte","AM","Amazonas","Iranduba","FUNDAMENTAL_ANOS_INICIAIS",6721,1301852
"2011","Norte","AM","Amazonas","Itacoatiara","FUNDAMENTAL_ANOS_INICIAIS",13130,1301902
"2011","Norte","AM","Amazonas","Itamarati","FUNDAMENTAL_ANOS_INICIAIS",1924,1301951
"2011","Norte","AM","Amazonas","Itapiranga","FUNDAMENTAL_ANOS_INICIAIS",1195,1302009
"2011","Norte","AM","Amazonas","Japurá","FUNDAMENTAL_ANOS_INICIAIS",1189,1302108
"2011","Norte","AM","Amazonas","Juruá","FUNDAMENTAL_ANOS_INICIAIS",2366,1302207
"2011","Norte","AM","Amazonas","Jutaí","FUNDAMENTAL_ANOS_INICIAIS",4623,1302306
"2011","Norte","AM","Amazonas","Lábrea","FUNDAMENTAL_ANOS_INICIAIS",6123,1302405
"2011","Norte","AM","Amazonas","Manacapuru","FUNDAMENTAL_ANOS_INICIAIS",12586,1302504
"2011","Norte","AM","Amazonas","Manaquiri","FUNDAMENTAL_ANOS_INICIAIS",2282,1302553
"2011","Norte","AM","Amazonas","Manaus","FUNDAMENTAL_ANOS_INICIAIS",196180,1302603
"2011","Norte","AM","Amazonas","Manicoré","FUNDAMENTAL_ANOS_INICIAIS",6325,1302702
"2011","Norte","AM","Amazonas","Maraã","FUNDAMENTAL_ANOS_INICIAIS",3090,1302801
"2011","Norte","AM","Amazonas","Maués","FUNDAMENTAL_ANOS_INICIAIS",8160,1302900
"2011","Norte","AM","Amazonas","Nhamundá","FUNDAMENTAL_ANOS_INICIAIS",2338,1303007
"2011","Norte","AM","Amazonas","Nova Olinda do Norte","FUNDAMENTAL_ANOS_INICIAIS",4062,1303106
"2011","Norte","AM","Amazonas","Novo Airão","FUNDAMENTAL_ANOS_INICIAIS",1568,1303205
"2011","Norte","AM","Amazonas","Novo Aripuanã","FUNDAMENTAL_ANOS_INICIAIS",3009,1303304
"2011","Norte","AM","Amazonas","Parintins","FUNDAMENTAL_ANOS_INICIAIS",12735,1303403
"2011","Norte","AM","Amazonas","Pauini","FUNDAMENTAL_ANOS_INICIAIS",3076,1303502
"2011","Norte","AM","Amazonas","Presidente Figueiredo","FUNDAMENTAL_ANOS_INICIAIS",3859,1303536
"2011","Norte","AM","Amazonas","Rio Preto da Eva","FUNDAMENTAL_ANOS_INICIAIS",2566,1303569
"2011","Norte","AM","Amazonas","Santa Isabel do Rio Negro","FUNDAMENTAL_ANOS_INICIAIS",1831,1303601
"2011","Norte","AM","Amazonas","Santo Antônio do Içá","FUNDAMENTAL_ANOS_INICIAIS",3720,1303700
"2011","Norte","AM","Amazonas","São Gabriel da Cachoeira","FUNDAMENTAL_ANOS_INICIAIS",6953,1303809
"2011","Norte","AM","Amazonas","São Paulo de Olivença","FUNDAMENTAL_ANOS_INICIAIS",5165,1303908
"2011","Norte","AM","Amazonas","São Sebastião do Uatumã","FUNDAMENTAL_ANOS_INICIAIS",1258,1303957
"2011","Norte","AM","Amazonas","Silves","FUNDAMENTAL_ANOS_INICIAIS",1219,1304005
"2011","Norte","AM","Amazonas","Tabatinga","FUNDAMENTAL_ANOS_INICIAIS",7893,1304062
"2011","Norte","AM","Amazonas","Tapauá","FUNDAMENTAL_ANOS_INICIAIS",3523,1304104
"2011","Norte","AM","Amazonas","Tefé","FUNDAMENTAL_ANOS_INICIAIS",10518,1304203
"2011","Norte","AM","Amazonas","Tonantins","FUNDAMENTAL_ANOS_INICIAIS",2216,1304237
"2011","Norte","AM","Amazonas","Uarini","FUNDAMENTAL_ANOS_INICIAIS",3054,1304260
"2011","Norte","AM","Amazonas","Urucará","FUNDAMENTAL_ANOS_INICIAIS",1978,1304302
"2011","Norte","AM","Amazonas","Urucurituba","FUNDAMENTAL_ANOS_INICIAIS",2143,1304401
"2011","Norte","RR","Roraima","Alto Alegre","FUNDAMENTAL_ANOS_INICIAIS",1701,1400050
"2011","Norte","RR","Roraima","Amajari","FUNDAMENTAL_ANOS_INICIAIS",1140,1400027
"2011","Norte","RR","Roraima","Boa Vista","FUNDAMENTAL_ANOS_INICIAIS",28712,1400100
"2011","Norte","RR","Roraima","Bonfim","FUNDAMENTAL_ANOS_INICIAIS",1723,1400159
"2011","Norte","RR","Roraima","Cantá","FUNDAMENTAL_ANOS_INICIAIS",1951,1400175
"2011","Norte","RR","Roraima","Caracaraí","FUNDAMENTAL_ANOS_INICIAIS",2370,1400209
"2011","Norte","RR","Roraima","Caroebe","FUNDAMENTAL_ANOS_INICIAIS",1015,1400233
"2011","Norte","RR","Roraima","Iracema","FUNDAMENTAL_ANOS_INICIAIS",786,1400282
"2011","Norte","RR","Roraima","Mucajaí","FUNDAMENTAL_ANOS_INICIAIS",1986,1400308
"2011","Norte","RR","Roraima","Normandia","FUNDAMENTAL_ANOS_INICIAIS",1662,1400407
"2011","Norte","RR","Roraima","Pacaraima","FUNDAMENTAL_ANOS_INICIAIS",1692,1400456
"2011","Norte","RR","Roraima","Rorainópolis","FUNDAMENTAL_ANOS_INICIAIS",2973,1400472
"2011","Norte","RR","Roraima","São João da Baliza","FUNDAMENTAL_ANOS_INICIAIS",848,1400506
"2011","Norte","RR","Roraima","São Luiz","FUNDAMENTAL_ANOS_INICIAIS",539,1400605
"2011","Norte","RR","Roraima","Uiramutã","FUNDAMENTAL_ANOS_INICIAIS",1833,1400704
"2011","Norte","PA","Pará","Abaetetuba","FUNDAMENTAL_ANOS_INICIAIS",17617,1500107
"2011","Norte","PA","Pará","Abel Figueiredo","FUNDAMENTAL_ANOS_INICIAIS",841,1500131
"2011","Norte","PA","Pará","Acará","FUNDAMENTAL_ANOS_INICIAIS",9529,1500206
"2011","Norte","PA","Pará","Afuá","FUNDAMENTAL_ANOS_INICIAIS",8642,1500305
"2011","Norte","PA","Pará","Água Azul do Norte","FUNDAMENTAL_ANOS_INICIAIS",1698,1500347
"2011","Norte","PA","Pará","Alenquer","FUNDAMENTAL_ANOS_INICIAIS",8580,1500404
"2011","Norte","PA","Pará","Almeirim","FUNDAMENTAL_ANOS_INICIAIS",5090,1500503
"2011","Norte","PA","Pará","Altamira","FUNDAMENTAL_ANOS_INICIAIS",11429,1500602
"2011","Norte","PA","Pará","Anajás","FUNDAMENTAL_ANOS_INICIAIS",6086,1500701
"2011","Norte","PA","Pará","Ananindeua","FUNDAMENTAL_ANOS_INICIAIS",41209,1500800
"2011","Norte","PA","Pará","Anapu","FUNDAMENTAL_ANOS_INICIAIS",3091,1500859
"2011","Norte","PA","Pará","Augusto Corrêa","FUNDAMENTAL_ANOS_INICIAIS",6559,1500909
"2011","Norte","PA","Pará","Aurora do Pará","FUNDAMENTAL_ANOS_INICIAIS",3953,1500958
"2011","Norte","PA","Pará","Aveiro","FUNDAMENTAL_ANOS_INICIAIS",2253,1501006
"2011","Norte","PA","Pará","Bagre","FUNDAMENTAL_ANOS_INICIAIS",3973,1501105
"2011","Norte","PA","Pará","Baião","FUNDAMENTAL_ANOS_INICIAIS",4437,1501204
"2011","Norte","PA","Pará","Bannach","FUNDAMENTAL_ANOS_INICIAIS",533,1501253
"2011","Norte","PA","Pará","Barcarena","FUNDAMENTAL_ANOS_INICIAIS",13501,1501303
"2011","Norte","PA","Pará","Belém","FUNDAMENTAL_ANOS_INICIAIS",105923,1501402
"2011","Norte","PA","Pará","Belterra","FUNDAMENTAL_ANOS_INICIAIS",2441,1501451
"2011","Norte","PA","Pará","Benevides","FUNDAMENTAL_ANOS_INICIAIS",6525,1501501
"2011","Norte","PA","Pará","Bom Jesus do Tocantins","FUNDAMENTAL_ANOS_INICIAIS",1638,1501576
"2011","Norte","PA","Pará","Bonito","FUNDAMENTAL_ANOS_INICIAIS",1903,1501600
"2011","Norte","PA","Pará","Bragança","FUNDAMENTAL_ANOS_INICIAIS",15158,1501709
"2011","Norte","PA","Pará","Brasil Novo","FUNDAMENTAL_ANOS_INICIAIS",1852,1501725
"2011","Norte","PA","Pará","Brejo Grande do Araguaia","FUNDAMENTAL_ANOS_INICIAIS",915,1501758
"2011","Norte","PA","Pará","Breu Branco","FUNDAMENTAL_ANOS_INICIAIS",7141,1501782
"2011","Norte","PA","Pará","Breves","FUNDAMENTAL_ANOS_INICIAIS",20600,1501808
"2011","Norte","PA","Pará","Bujaru","FUNDAMENTAL_ANOS_INICIAIS",4412,1501907
"2011","Norte","PA","Pará","Cachoeira do Arari","FUNDAMENTAL_ANOS_INICIAIS",2848,1502004
"2011","Norte","PA","Pará","Cachoeira do Piriá","FUNDAMENTAL_ANOS_INICIAIS",3383,1501956
"2011","Norte","PA","Pará","Cametá","FUNDAMENTAL_ANOS_INICIAIS",19976,1502103
"2011","Norte","PA","Pará","Canaã dos Carajás","FUNDAMENTAL_ANOS_INICIAIS",3582,1502152
"2011","Norte","PA","Pará","Capanema","FUNDAMENTAL_ANOS_INICIAIS",7307,1502202
"2011","Norte","PA","Pará","Capitão Poço","FUNDAMENTAL_ANOS_INICIAIS",6796,1502301
"2011","Norte","PA","Pará","Castanhal","FUNDAMENTAL_ANOS_INICIAIS",18385,1502400
"2011","Norte","PA","Pará","Chaves","FUNDAMENTAL_ANOS_INICIAIS",4093,1502509
"2011","Norte","PA","Pará","Colares","FUNDAMENTAL_ANOS_INICIAIS",1417,1502608
"2011","Norte","PA","Pará","Conceição do Araguaia","FUNDAMENTAL_ANOS_INICIAIS",5001,1502707
"2011","Norte","PA","Pará","Concórdia do Pará","FUNDAMENTAL_ANOS_INICIAIS",6889,1502756
"2011","Norte","PA","Pará","Cumaru do Norte","FUNDAMENTAL_ANOS_INICIAIS",1361,1502764
"2011","Norte","PA","Pará","Curionópolis","FUNDAMENTAL_ANOS_INICIAIS",2288,1502772
"2011","Norte","PA","Pará","Curralinho","FUNDAMENTAL_ANOS_INICIAIS",5987,1502806
"2011","Norte","PA","Pará","Curuá","FUNDAMENTAL_ANOS_INICIAIS",2158,1502855
"2011","Norte","PA","Pará","Curuçá","FUNDAMENTAL_ANOS_INICIAIS",5172,1502905
"2011","Norte","PA","Pará","Dom Eliseu","FUNDAMENTAL_ANOS_INICIAIS",5315,1502939
"2011","Norte","PA","Pará","Eldorado do Carajás","FUNDAMENTAL_ANOS_INICIAIS",4139,1502954
"2011","Norte","PA","Pará","Faro","FUNDAMENTAL_ANOS_INICIAIS",1193,1503002
"2011","Norte","PA","Pará","Floresta do Araguaia","FUNDAMENTAL_ANOS_INICIAIS",2100,1503044
"2011","Norte","PA","Pará","Garrafão do Norte","FUNDAMENTAL_ANOS_INICIAIS",5385,1503077
"2011","Norte","PA","Pará","Goianésia do Pará","FUNDAMENTAL_ANOS_INICIAIS",4584,1503093
"2011","Norte","PA","Pará","Gurupá","FUNDAMENTAL_ANOS_INICIAIS",7127,1503101
"2011","Norte","PA","Pará","Igarapé-Açu","FUNDAMENTAL_ANOS_INICIAIS",4470,1503200
"2011","Norte","PA","Pará","Igarapé-Miri","FUNDAMENTAL_ANOS_INICIAIS",8863,1503309
"2011","Norte","PA","Pará","Inhangapi","FUNDAMENTAL_ANOS_INICIAIS",1261,1503408
"2011","Norte","PA","Pará","Ipixuna do Pará","FUNDAMENTAL_ANOS_INICIAIS",4589,1503457
"2011","Norte","PA","Pará","Irituia","FUNDAMENTAL_ANOS_INICIAIS",4436,1503507
"2011","Norte","PA","Pará","Itaituba","FUNDAMENTAL_ANOS_INICIAIS",13162,1503606
"2011","Norte","PA","Pará","Itupiranga","FUNDAMENTAL_ANOS_INICIAIS",7459,1503705
"2011","Norte","PA","Pará","Jacareacanga","FUNDAMENTAL_ANOS_INICIAIS",3404,1503754
"2011","Norte","PA","Pará","Jacundá","FUNDAMENTAL_ANOS_INICIAIS",6065,1503804
"2011","Norte","PA","Pará","Juruti","FUNDAMENTAL_ANOS_INICIAIS",7380,1503903
"2011","Norte","PA","Pará","Limoeiro do Ajuru","FUNDAMENTAL_ANOS_INICIAIS",4189,1504000
"2011","Norte","PA","Pará","Mãe do Rio","FUNDAMENTAL_ANOS_INICIAIS",4705,1504059
"2011","Norte","PA","Pará","Magalhães Barata","FUNDAMENTAL_ANOS_INICIAIS",1175,1504109
"2011","Norte","PA","Pará","Marabá","FUNDAMENTAL_ANOS_INICIAIS",26912,1504208
"2011","Norte","PA","Pará","Maracanã","FUNDAMENTAL_ANOS_INICIAIS",4390,1504307
"2011","Norte","PA","Pará","Marapanim","FUNDAMENTAL_ANOS_INICIAIS",3698,1504406
"2011","Norte","PA","Pará","Marituba","FUNDAMENTAL_ANOS_INICIAIS",11298,1504422
"2011","Norte","PA","Pará","Medicilândia","FUNDAMENTAL_ANOS_INICIAIS",3327,1504455
"2011","Norte","PA","Pará","Melgaço","FUNDAMENTAL_ANOS_INICIAIS",4789,1504505
"2011","Norte","PA","Pará","Mocajuba","FUNDAMENTAL_ANOS_INICIAIS",4381,1504604
"2011","Norte","PA","Pará","Moju","FUNDAMENTAL_ANOS_INICIAIS",12386,1504703
"2011","Norte","PA","Pará","Monte Alegre","FUNDAMENTAL_ANOS_INICIAIS",8692,1504802
"2011","Norte","PA","Pará","Muaná","FUNDAMENTAL_ANOS_INICIAIS",4566,1504901
"2011","Norte","PA","Pará","Nova Esperança do Piriá","FUNDAMENTAL_ANOS_INICIAIS",3652,1504950
"2011","Norte","PA","Pará","Nova Ipixuna","FUNDAMENTAL_ANOS_INICIAIS",1999,1504976
"2011","Norte","PA","Pará","Nova Timboteua","FUNDAMENTAL_ANOS_INICIAIS",1369,1505007
"2011","Norte","PA","Pará","Novo Progresso","FUNDAMENTAL_ANOS_INICIAIS",2770,1505031
"2011","Norte","PA","Pará","Novo Repartimento","FUNDAMENTAL_ANOS_INICIAIS",10049,1505064
"2011","Norte","PA","Pará","Óbidos","FUNDAMENTAL_ANOS_INICIAIS",6406,1505106
"2011","Norte","PA","Pará","Oeiras do Pará","FUNDAMENTAL_ANOS_INICIAIS",5947,1505205
"2011","Norte","PA","Pará","Oriximiná","FUNDAMENTAL_ANOS_INICIAIS",8906,1505304
"2011","Norte","PA","Pará","Ourém","FUNDAMENTAL_ANOS_INICIAIS",2349,1505403
"2011","Norte","PA","Pará","Ourilândia do Norte","FUNDAMENTAL_ANOS_INICIAIS",3742,1505437
"2011","Norte","PA","Pará","Pacajá","FUNDAMENTAL_ANOS_INICIAIS",5903,1505486
"2011","Norte","PA","Pará","Palestina do Pará","FUNDAMENTAL_ANOS_INICIAIS",976,1505494
"2011","Norte","PA","Pará","Paragominas","FUNDAMENTAL_ANOS_INICIAIS",13726,1505502
"2011","Norte","PA","Pará","Parauapebas","FUNDAMENTAL_ANOS_INICIAIS",17476,1505536
"2011","Norte","PA","Pará","Pau D'Arco","FUNDAMENTAL_ANOS_INICIAIS",851,1505551
"2011","Norte","PA","Pará","Peixe-Boi","FUNDAMENTAL_ANOS_INICIAIS",893,1505601
"2011","Norte","PA","Pará","Piçarra","FUNDAMENTAL_ANOS_INICIAIS",1718,1505635
"2011","Norte","PA","Pará","Placas","FUNDAMENTAL_ANOS_INICIAIS",2263,1505650
"2011","Norte","PA","Pará","Ponta de Pedras","FUNDAMENTAL_ANOS_INICIAIS",3539,1505700
"2011","Norte","PA","Pará","Portel","FUNDAMENTAL_ANOS_INICIAIS",11932,1505809
